,name,symbol,score,level
0,Ethereum,ETH,81.83,AAA
1,Bitcoin,BTC,79.57,AAA
2,BNB,BNB,78.98,AA
3,Dai,DAI,77.07,AA
4,Uniswap,UNI,75.80,AA
5,Chainlink,LINK,75.65,AA
6,Aave,AAVE,73.25,A
7,PancakeSwap,CAKE,72.10,A
8,Cosmos,ATOM,72.03,A
9,Avalanche,AVAX,71.27,A
10,Lido DAO Token,LDO,70.55,A
11,Polkadot,DOT,70.54,A
12,Near Protocol,NEAR,70.54,A
13,Ripple XRP,XRP,69.87,A
14,0x,ZRX,69.85,A
15,The Sandbox,SAND,69.73,A
16,OKB,OKB,69.71,A
17,1inch,1INCH,69.52,A
18,Maker,MKR,69.23,A
19,Trust Wallet Token,TWT,69.17,A
20,Helium (Nova Labs),HNT,69.11,A
21,Polygon,MATIC,69.03,A
22,Arbitrum,ARB,68.72,A
23,Dash,DASH,68.71,A
24,Fantom,FTM,68.32,A
25,The Graph,GRT,67.98,BBB
26,KuCoin Token,KCS,67.84,BBB
27,Optimism,OP,67.78,BBB
28,Hedera,HBAR,67.66,BBB
29,dYdX,DYDX,67.55,BBB
30,Tether,USDT,67.54,BBB
31,Stacks,STX,67.46,BBB
32,Zilliqa,ZIL,67.39,BBB
33,Celo,CELO,67.35,BBB
34,Flow,FLOW,67.30,BBB
35,Algorand,ALGO,67.24,BBB
36,Audius,AUDIO,67.19,BBB
37,Curve Finance,CRV,67.15,BBB
38,IoTeX,IOTX,67.03,BBB
39,Lido Staked Ether,stETH,66.91,BBB
40,Filecoin,FIL,66.91,BBB
41,USD Coin,USDC,66.90,BBB
42,Decentraland,MANA,66.69,BBB
43,Axie Infinity Shards,AXS,66.50,BBB
44,Cardano,ADA,66.33,BBB
45,Wrapped Bitcoin,WBTC,66.28,BBB
46,Enjin Coin,ENJ,66.08,BBB
47,Synthetix,SNX,65.95,BBB
48,Injective,INJ,65.78,BBB
49,Ontology,ONT,65.64,BBB
50,GMX,GMX,65.52,BBB
51,Harmony,ONE,65.01,BBB
52,Compound,COMP,64.90,BBB
53,Kusama,KSM,64.83,BBB
54,TrueUSD,TUSD,64.52,BBB
55,Balancer,BAL,64.52,BBB
56,Stellar,XLM,64.40,BBB
57,Kava,KAVA,64.33,BBB
58,Secret Network,SCRT,64.23,BBB
59,Mina Protocol,MINA,64.19,BBB
60,Ethereum Name Service,ENS,64.16,BBB
61,yearn.finance,YFI,64.08,BBB
62,SKALE Network,SKL,63.97,BBB
63,Chain,XCN,63.89,BBB
64,Monero,XMR,63.89,BBB
65,Vechain,VET,63.56,BBB
66,Chia,XCH,63.42,BBB
67,Astar,ASTR,63.36,BBB
68,Immutable X,IMX,63.34,BBB
69,Cronos,CRO,63.26,BBB
70,Aptos,APT,63.23,BBB
71,SingularityNET,AGIX,63.13,BBB
72,Ocean Protocol,OCEAN,62.90,BBB
73,TRON,TRX,62.88,BBB
74,Pendle,PENDLE,62.84,BBB
75,Solana,SOL,62.58,BBB
76,Ankr,ANKR,62.51,BBB
77,SafePal,SFP,62.40,BBB
78,Livepeer,LPT,62.10,BBB
79,Arweave,AR,61.94,BBB
80,Qtum,QTUM,61.84,BBB
81,Toncoin,TON,61.83,BBB
82,WOO Network,WOO,61.68,BB
83,Zcash,ZEC,61.56,BB
84,Ergo,ERG,61.48,BB
85,Tezos,XTZ,61.37,BB
86,MultiversX (Previously Elrond),EGLD,61.20,BB
87,THORChain,RUNE,61.11,BB
88,Horizen,ZEN,61.07,BB
89,Radix ,XRD,61.06,BB
90,Loopring,LRC,61.03,BB
91,Nano,XNO,60.97,BB
92,Frax Share,FXS,60.96,BB
93,Flux,FLUX,60.93,BB
94,Pax Dollar,USDP,60.92,BB
95,Basic Attention Token,BAT,60.89,BB
96,API3,API3,60.83,BB
97,WAX,WAXP,60.78,BB
98,NEO,NEO,60.74,BB
99,Frax,FRAX,60.72,BB
100,IOTA,MIOTA,60.66,BB
101,Render Network,RNDR,60.57,BB
102,SushiSwap,SUSHI,60.54,BB
103,Origin Protocol,OGN,60.46,BB
104,Band Protocol,BAND,60.36,BB
105,Theta Fuel ,TFUEL,60.15,BB
106,Theta Network,THETA,60.03,BB
107,Sui,SUI,60.02,BB
108,ApeCoin,APE,59.98,BB
109,EOS,EOS,59.96,BB
110,Aragon,ANT,59.91,BB
111,Chiliz,CHZ,59.80,BB
112,BitTorrent,BTT,59.65,BB
113,Illuvium,ILV,59.48,BB
114,REN,REN,59.31,BB
115,GateToken,GT,59.24,BB
116,QuickSwap,QUICK,59.14,BB
117,Gala,GALA,59.09,BB
118,DigiByte,DGB,59.00,BB
119,Kyber Network Crystal,KNC,59.00,BB
120,IOST,IOST,58.74,BB
121,Nervos Network,CKB,58.65,BB
122,Decentralized USD,USDD,58.64,BB
123,Evmos,EVMOS,58.60,BB
124,Galxe,GAL,58.57,BB
125,Liquity USD,LUSD,58.41,BB
126,Oasis Network,ROSE,58.26,BB
127,Conflux,CFX,58.26,BB
128,Casper,CSPR,58.22,BB
129,Ethereum Classic,ETC,58.17,BB
130,Osmosis,OSMO,58.12,BB
131,Stargate Finance,STG,57.60,BB
132,Nest Protocol,NEST,57.59,BB
133,Pocket Network,POKT,57.58,BB
134,Litecoin,LTC,57.55,BB
135,Gitcoin,GTC,57.51,BB
136,DODO,DODO,57.51,BB
137,Decentralized Social,DESO,57.47,BB
138,CoinEx Token,CET,57.33,BB
139,Reserve Rights,RSR,57.29,BB
140,Klaytn,KLAY,57.21,BB
141,Alchemy Pay,ACH,57.14,BB
142,ICON,ICX,57.13,BB
143,Waves,WAVES,57.11,BB
144,Pundi X,PUNDIX,57.04,BB
145,Lido Staked SOL,STSOL,57.01,BB
146,DeFiChain,DFI,56.98,BB
147,Decred,DCR,56.92,BB
148,Gods Unchained,GODS,56.89,BB
149,Metis Token,METIS,56.81,BB
150,Huobi token,HT,56.78,BB
151,MX Token,MX,56.77,BB
152,Bancor,BNT,56.69,BB
153,Mask Network,MASK,56.56,BB
154,Golem,GLM,56.54,BB
155,Aleph Zero,AZERO,56.52,BB
156,Radiant Capital,RDNT,56.51,BB
157,Trader Joe,JOE,56.32,BB
158,Canto,CANTO,56.29,BB
159,Liquity,LQTY,56.28,BB
160,MDEX (HECO),MDX,56.20,BB
161,LooksRare,LOOKS,56.14,BB
162,Frax Ether,frxETH,56.12,BB
163,Gains Network,GNS,56.01,BB
164,eCASH,XEC,55.88,BB
165,Axelar network,AXL,55.85,BB
166,UNUS SED LEO,LEO,55.81,BB
167,Perpetual Protocol,PERP,55.81,BB
168,Convex Finance,CVX,55.74,BB
169,Hashflow,HFT,55.59,BB
170,Quant,QNT,55.55,BB
171,Kadena,KDA,55.47,BB
172,TrueFi,TRU,55.47,BB
173,Stride,STRD,55.28,BB
174,Merit Circle,MC,55.18,BB
175,Aavegotchi,GHST,54.99,BB
176,Telcoin,TEL,54.96,BB
177,PAX Gold,PAXG,54.77,BB
178,UMA,UMA,54.70,BB
179,SwissBorg,CHSB,54.51,BB
180,Flare Network,FLR,54.43,BB
181,Rocket Pool,RPL,54.40,BB
182,Bitget Token,BGB,54.25,BB
183,Gemini Dollar,GUSD,54.20,BB
184,Celer Network,CELR,54.19,BB
185,SafeMoon V2,SFM,54.11,BB
186,Rocket Pool ETH,RETH,54.09,B
187,Treasure,MAGIC,53.82,B
188,Energy Web Token,EWT,53.78,B
189,Beldex,BDX,53.73,B
190,Status,SNT,53.70,B
191,Syscoin,SYS,53.70,B
192,Bitcoin Cash,BCH,53.57,B
193,Fetch.ai,FET,53.49,B
194,Biconomy,BICO,53.48,B
195,Blur,BLUR,53.39,B
196,Coin98,C98,53.38,B
197,Rarible,RARI,53.23,B
198,Nexo,NEXO,53.13,B
199,Cartesi,CTSI,53.06,B
200,ECOMI,OMI,53.05,B
201,DAO Maker,DAO,52.87,B
202,GnosisDAO,GNO,52.76,B
203,Binance USD,BUSD,52.56,B
204,COTI,COTI,52.48,B
205,OriginTrail,TRAC,52.41,B
206,Civic,CVC,52.27,B
207,STEPN,GMT,52.00,B
208,XDC Network,XDC,51.99,B
209,SSV Network,SSV,51.90,B
210,Kwenta,KWENTA,51.76,B
211,Bitkub Coin,KUB,51.59,B
212,BinaryX [OLD],BNX,51.52,B
213,Stafi,FIS,51.39,B
214,Synapse Protocol,SYN,51.35,B
215,Radicle,RAD,51.28,B
216,Olympus,OHM,51.26,B
217,Hive,HIVE,51.26,B
218,Highstreet,HIGH,51.19,B
219,aelf,ELF,51.08,B
220,Ravencoin,RVN,51.01,B
221,Deri Protocol,DERI,50.98,B
222,Ribbon Finance,RBN,50.88,B
223,Efinity,EFI,50.85,B
224,Ankr Staked ETH,ANKRETH,50.83,B
225,Swipe,SXP,50.75,B
226,JUST,JST,50.43,B
